istat_code,municipality,sea_coast_km,lake_coast_km,protected_areas_sqkm,museums,architectural_features,sports_facilities,nature_based,theme_parks,nightlife,public_transport_points,airport_straight_km
2008,Balmuccia,0.0,0.0,0.0,0,3,3,4,0,0,1,50.134
2009,Balocco,0.0,0.136,0.0,0,2,2,0,0,0,3,39.148
2011,Bianzè,0.0,0.088,0.0,0,2,21,0,0,0,4,40.084
2014,Boccioleto,0.0,0.036,0.0,0,8,2,26,0,0,1,54.912
2015,Borgo d'Ale,0.0,0.0,0.264,0,8,28,2,0,0,7,35.641
2016,Borgosesia,0.0,0.232,1.88,1,17,38,33,0,3,9,37.97
2017,Borgo Vercelli,0.0,0.452,0.0,0,6,17,0,0,1,3,36.135
2021,Buronzo,0.0,0.264,0.0,0,3,10,0,0,0,6,39.505
2025,Campertogno,0.0,0.0,0.0,0,13,6,19,0,0,3,48.75
2029,Carcoforo,0.0,0.0,9.999,0,6,4,26,0,0,1,55.775
2030,Caresana,0.0,0.0,0.0,0,2,10,0,0,0,6,48.452
2031,Caresanablot,0.0,0.0,0.0,0,2,35,0,0,0,7,40.284
2032,Carisio,0.0,0.0,1.017,0,1,7,0,0,0,7,46.519
2033,Casanova Elvo,0.0,0.0,0.0,0,1,5,0,0,0,1,42.616
2035,San Giacomo Vercellese,0.0,0.0,0.0,0,0,9,0,0,1,2,34.581
2041,Cervatto,0.0,0.0,0.029,0,0,0,8,0,0,0,52.815
2042,Cigliano,0.0,0.109,0.064,0,5,34,0,0,1,13,30.41
2043,Civiasco,0.0,0.0,0.0,1,7,3,9,0,0,0,38.44
2045,Collobiano,0.0,0.0,0.0,0,3,6,0,1,0,2,39.227
2047,Costanzana,0.0,0.0,0.0,0,3,5,0,0,0,3,53.101
2048,Cravagliana,0.0,0.0,0.041,0,3,1,11,0,0,0,48.683
2049,Crescentino,0.0,0.437,4.876,0,17,46,3,0,0,25,36.423
2052,Crova,0.0,0.155,0.0,0,3,5,0,0,0,5,47.875
